Model,Precision Level 0,Recall Level 0,F1 Level 0,Precision Level 1,Recall Level 1,F1 Level 1,Precision Level 2,Recall Level 2,F1 Level 2,Label Precision Level 0,Label Recall Level 0,Label F1 Level 0,Label Precision Level 1,Label Recall Level 1,Label F1 Level 1,Label Precision Level 2,Label Recall Level 2,Label F1 Level 2
user1,0.7115335879935537,0.7724929612770511,0.6937237388449674,0.25115384615384617,0.28436159427177393,0.25679794900811936,0.11750000000000001,0.1343615942717739,0.12118169653326713,0.75,0.75,0.75,0.31666666666666665,0.475,0.36666666666666664,0.14583333333333331,0.275,0.17833333333333332
user2,0.7044806058783406,0.7913243461264,0.715803273781414,0.26283061594202894,0.2683333333333333,0.26117147003939456,0.036684782608695655,0.026666666666666665,0.029230769230769234,0.8,0.8,0.8,0.55,0.55,0.55,0.12916666666666665,0.175,0.14166666666666666
user5,0.7234237976088562,0.7225595865305755,0.6807544971533444,0.28071647555343204,0.2349384763733166,0.24300593541272159,0.13566916175611826,0.12991303108069574,0.13106393833331909,0.7,0.7,0.7,0.4333333333333334,0.55,0.47333333333333333,0.2333333333333333,0.35,0.26666666666666666
Average,0.7131459971602502,0.7621256313113421,0.6967605032599087,0.26490031254976903,0.26254446799280795,0.2536584514867452,0.09661798145493798,0.09698043067304545,0.0938254680324518,0.75,0.75,0.75,0.43333333333333335,0.525,0.4633333333333334,0.16944444444444443,0.26666666666666666,0.19555555555555557
