Model,Precision Level 0,Recall Level 0,F1 Level 0,Precision Level 1,Recall Level 1,F1 Level 1,Precision Level 2,Recall Level 2,F1 Level 2,Label Precision Level 0,Label Recall Level 0,Label F1 Level 0,Label Precision Level 1,Label Recall Level 1,Label F1 Level 1,Label Precision Level 2,Label Recall Level 2,Label F1 Level 2
user1,0.829887208271295,0.8198976737268031,0.8038190316733704,0.3153201383847051,0.36276809994561215,0.3234309266649632,0.05416666666666666,0.0978616789839076,0.06707161453644314,0.95,0.95,0.95,0.5416666666666667,0.7,0.5833333333333333,0.13333333333333333,0.2333333333333333,0.15928571428571428
user4,0.6875452812868412,0.6241370847215938,0.5751468444342958,0.2683333333333333,0.26283061594202894,0.26117147003939456,0.026666666666666665,0.036684782608695655,0.029230769230769234,0.8,0.8,0.8,0.55,0.55,0.55,0.175,0.12916666666666665,0.14166666666666666
user5,0.6558960369509362,0.6238763193321006,0.5687502254616066,0.3160356549314883,0.3648540054847263,0.3286255772435694,0.1851984126984127,0.23145488267770875,0.199641390710231,0.8,0.8,0.8,0.5083333333333334,0.65,0.5566666666666665,0.2958333333333333,0.35416666666666663,0.3158333333333333
Average,0.7244428421696908,0.6893036925934991,0.649238700523091,0.2998963755498422,0.33015090712412243,0.3044093246493091,0.08867724867724867,0.122000448090104,0.09864792482581446,0.85,0.85,0.85,0.5333333333333333,0.6333333333333333,0.5633333333333334,0.20138888888888887,0.23888888888888885,0.20559523809523808
