Model,Precision Level 0,Recall Level 0,F1 Level 0,Precision Level 1,Recall Level 1,F1 Level 1,Precision Level 2,Recall Level 2,F1 Level 2,Label Precision Level 0,Label Recall Level 0,Label F1 Level 0,Label Precision Level 1,Label Recall Level 1,Label F1 Level 1,Label Precision Level 2,Label Recall Level 2,Label F1 Level 2
user1,0.6696857804880593,0.7818951067048893,0.6681716272934082,0.26594001454231264,0.28695005175983435,0.25443140824908755,0.09021390709603876,0.1335004744651484,0.0984755452996964,0.75,0.75,0.75,0.4416666666666667,0.475,0.4333333333333334,0.18333333333333332,0.2125,0.1769047619047619
user2,0.655563405655802,0.7826119210770073,0.6566292812749439,0.3648540054847263,0.3227500763125763,0.33295945259134213,0.23145488267770875,0.19083333333333335,0.20235616318548252,0.8,0.8,0.8,0.65,0.5,0.5499999999999999,0.35416666666666663,0.3083333333333333,0.31999999999999995
user4,0.6529879682254174,0.7497412008281574,0.6239647585767347,0.2349384763733166,0.28574852683548335,0.24388741637680597,0.12991303108069574,0.14518076126771778,0.13319635136676275,0.7,0.7,0.7,0.55,0.425,0.4666666666666667,0.35,0.2333333333333333,0.26666666666666666
Average,0.6594123847897595,0.7714160762033514,0.6495885557150289,0.28857749880011857,0.298482884969298,0.2770927590724119,0.15052727361814774,0.15650485635539985,0.14467601995064724,0.75,0.75,0.75,0.5472222222222223,0.4666666666666666,0.4833333333333334,0.29583333333333334,0.25138888888888883,0.25452380952380954
