Model,Precision Level 0,Recall Level 0,F1 Level 0,Precision Level 1,Recall Level 1,F1 Level 1,Precision Level 2,Recall Level 2,F1 Level 2,Label Precision Level 0,Label Recall Level 0,Label F1 Level 0,Label Precision Level 1,Label Recall Level 1,Label F1 Level 1,Label Precision Level 2,Label Recall Level 2,Label F1 Level 2
user2,0.783842317497973,0.8097517510658058,0.7697142958435738,0.36276809994561215,0.3719868050513717,0.35533217196163086,0.0978616789839076,0.08666666666666666,0.08846128757087661,0.95,0.95,0.95,0.7,0.6166666666666666,0.6333333333333332,0.2333333333333333,0.17916666666666664,0.1926190476190476
user4,0.672232494078406,0.5833237654256068,0.5376838394763012,0.28436159427177393,0.30820512820512824,0.2912144017894106,0.1343615942717739,0.14666666666666667,0.1391368240502515,0.75,0.75,0.75,0.475,0.39166666666666666,0.41666666666666663,0.275,0.17916666666666664,0.2033333333333333
user5,0.6219243497840854,0.6101044061447165,0.540788088441734,0.2764540200138026,0.324273347875646,0.2842225780434113,0.1272504744651484,0.14438057376270544,0.13095445683081472,0.75,0.75,0.75,0.45833333333333337,0.4916666666666667,0.45666666666666667,0.19999999999999998,0.24166666666666664,0.20690476190476187
Average,0.6926663871201549,0.6677266408787097,0.616062074587203,0.3078612380770629,0.334821760377382,0.31025638393148425,0.11982458257360996,0.1259046356986796,0.11951752281731427,0.8166666666666668,0.8166666666666668,0.8166666666666668,0.5444444444444444,0.5,0.5022222222222221,0.23611111111111108,0.19999999999999996,0.2009523809523809
