Model,Precision Level 0,Recall Level 0,F1 Level 0,Precision Level 1,Recall Level 1,F1 Level 1,Precision Level 2,Recall Level 2,F1 Level 2,Label Precision Level 0,Label Recall Level 0,Label F1 Level 0,Label Precision Level 1,Label Recall Level 1,Label F1 Level 1,Label Precision Level 2,Label Recall Level 2,Label F1 Level 2
user1,0.7323560035988248,0.8478926115681464,0.7607788320556336,0.3262787415105147,0.3423000244657689,0.32259104225117363,0.19219471947194722,0.24832482166851771,0.20463726459410228,0.7,0.7,0.7,0.4416666666666666,0.5833333333333333,0.48166666666666663,0.31666666666666665,0.4291666666666666,0.3345238095238095
user2,0.7845740436034553,0.8924955153294194,0.8215726551783614,0.39972727272727276,0.4025223214285714,0.3979723659494406,0.16222727272727272,0.17250000000000001,0.16486869140875818,0.75,0.75,0.75,0.6,0.6083333333333333,0.59,0.25833333333333336,0.29166666666666663,0.26999999999999996
user4,0.728310972758032,0.8094979452466564,0.7289498271846571,0.3114414414414414,0.36445492912884214,0.31957029736450926,0.18644144144144142,0.23945492912884214,0.1945702973645093,0.85,0.85,0.85,0.7,0.6583333333333333,0.6733333333333333,0.55,0.4916666666666667,0.5083333333333333
user5,0.7041324166485584,0.767354522415567,0.6849716806691568,0.37563844797178125,0.3947448784805155,0.3717442539575637,0.17095238095238094,0.21164562754418587,0.1806460767630109,0.75,0.75,0.75,0.575,0.65,0.5999999999999999,0.3375,0.4041666666666667,0.3577380952380952
Average,0.7373433591522176,0.8293101486399472,0.7490682487719522,0.35327147591275254,0.3760055383759245,0.35296948988067184,0.17795395364826058,0.21798134458538643,0.18618058253259517,0.7625,0.7625,0.7625,0.5791666666666666,0.6249999999999999,0.5862499999999999,0.365625,0.4041666666666667,0.3676488095238095
